"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","should check the checkbox when the input value changes to 0","PriceInput","Thu Jan 16 17:01:20 UTC 2025","passed","Thu Jan 16 17:01:20 UTC 2025","","when ""Gratuit"" checkbox display is enabled","",""
"","46","should not render the statistics link","Sitemap","Thu Jan 16 17:00:37 UTC 2025","passed","Thu Jan 16 17:00:37 UTC 2025","","when the offerer stats v2 feature is active","",""
"","4","should return an error when the institutions could not be retrieved","getEducationalInstitutions","Thu Jan 16 17:02:10 UTC 2025","passed","Thu Jan 16 17:02:10 UTC 2025","","","",""
"","98","should have a CSV download button","components | BookingsRecap | Pro user","Thu Jan 16 16:58:24 UTC 2025","passed","Thu Jan 16 16:58:24 UTC 2025","","","",""
"","948","should pass callId to the api when suggested subcategories are enabled and used once","IndividualOfferDetails","Thu Jan 16 16:58:16 UTC 2025","passed","Thu Jan 16 16:58:17 UTC 2025","","about categories / subcategories selection","",""
"","1","should select all departments","handleAllFranceDepartmentOptions","Thu Jan 16 17:01:42 UTC 2025","passed","Thu Jan 16 17:01:42 UTC 2025","","","",""
"","0","should escape accents","filterBookingsRecap","Thu Jan 16 16:59:25 UTC 2025","passed","Thu Jan 16 16:59:25 UTC 2025","","","",""
"","0","should return false for an invalid time","isValidTime","Thu Jan 16 17:00:49 UTC 2025","passed","Thu Jan 16 17:00:49 UTC 2025","","","",""
"","14","should show the dates of a template offer that has specific dates","AdageOfferHeader","Thu Jan 16 17:00:04 UTC 2025","passed","Thu Jan 16 17:00:04 UTC 2025","","","",""
"","68","should display the collective title","route VenueEdition","Thu Jan 16 16:59:17 UTC 2025","passed","Thu Jan 16 16:59:17 UTC 2025","","","",""
"","292","should always display conditional fields based on the selected category / subcategory","DetailsSubForm","Thu Jan 16 17:00:23 UTC 2025","passed","Thu Jan 16 17:00:23 UTC 2025","","","",""
"","59","should display event period filter with no default option","CollectiveOffersScreen","Thu Jan 16 16:58:39 UTC 2025","passed","Thu Jan 16 16:58:39 UTC 2025","","","",""
"","23","should disabled field for rejected offer","PriceCategories","Thu Jan 16 17:02:29 UTC 2025","passed","Thu Jan 16 17:02:29 UTC 2025","","","",""
"","0","should return true when collective offer status is REJECTED in summary page","canArchiveCollectiveOffer","Thu Jan 16 17:00:38 UTC 2025","passed","Thu Jan 16 17:00:38 UTC 2025","","","",""
"","118","The email suggestion should not be displayed when the field is empty","EmailSpellCheckInput","Thu Jan 16 17:01:31 UTC 2025","passed","Thu Jan 16 17:01:31 UTC 2025","","","",""
"","277","should load offers with written offer name filter","route CollectiveOffers","Thu Jan 16 16:58:33 UTC 2025","passed","Thu Jan 16 16:58:33 UTC 2025","on click on search button","filters","",""
"","4","accepts image with valid type","image constraints","Thu Jan 16 17:00:49 UTC 2025","passed","Thu Jan 16 17:00:49 UTC 2025","checks file type","formats","",""
"","5","should render { displayedStatus: 'REJECTED', expectedLabel: 'refusée' } status","CollectiveStatusLabel","Thu Jan 16 17:01:01 UTC 2025","passed","Thu Jan 16 17:01:01 UTC 2025","","","",""
"","17","should filter on the venue specified in the url","OffersInstantSearch","Thu Jan 16 17:01:30 UTC 2025","passed","Thu Jan 16 17:01:30 UTC 2025","","","",""
"","203","should select collective offer","OfferType","Thu Jan 16 16:59:12 UTC 2025","passed","Thu Jan 16 16:59:12 UTC 2025","","","",""
"","0","should return null if there are no venues","getLastCollectiveDmsApplication","Thu Jan 16 17:00:49 UTC 2025","passed","Thu Jan 16 17:00:49 UTC 2025","","getLastDmsApplicationForOfferer","",""
"","7","should show the partner distance to school","AdageOfferPartnerPanel","Thu Jan 16 17:00:48 UTC 2025","passed","Thu Jan 16 17:00:48 UTC 2025","","","",""
"","2","should reject too short phone number","french phone number without region code","Thu Jan 16 17:01:08 UTC 2025","passed","Thu Jan 16 17:01:08 UTC 2025","","","",""
"","185","should show the reimbursed status option if the ENABLE_COLLECTIVE_NEW_STATUSES FF is active","CollectiveOffersScreen","Thu Jan 16 16:58:40 UTC 2025","passed","Thu Jan 16 16:58:40 UTC 2025","","","",""
"","1","should validate the form for case: in edition, quantity below bookings number","validationSchema","Thu Jan 16 17:02:01 UTC 2025","passed","Thu Jan 16 17:02:01 UTC 2025","","","",""
"","613","should display venue selects as disabled (not editable) fields","screens | OfferEducational : edition offerer step","Thu Jan 16 17:01:12 UTC 2025","passed","Thu Jan 16 17:01:13 UTC 2025","","","",""
"","53","should render with pending bank account if status is in draft","ReimbursementBankAccount","Thu Jan 16 16:59:06 UTC 2025","passed","Thu Jan 16 16:59:06 UTC 2025","","","",""
"","1","should return true if last provider name is Allociné","isAllocineOffer","Thu Jan 16 17:03:09 UTC 2025","passed","Thu Jan 16 17:03:09 UTC 2025","","","",""
"","19","should allow tabbing from one input of type tel to the next","TextInput","Thu Jan 16 17:01:54 UTC 2025","passed","Thu Jan 16 17:01:54 UTC 2025","","","",""
"","242","should render as much offers as returned by the api","CollectiveOffersScreen","Thu Jan 16 16:58:38 UTC 2025","passed","Thu Jan 16 16:58:38 UTC 2025","","","",""
"","0","should return null if the query param is not a valid offer subtype","getOfferSubtypeFromParam","Thu Jan 16 17:00:10 UTC 2025","passed","Thu Jan 16 17:00:10 UTC 2025","","","",""
"","83","should display an error message","DetailsEanSearch","Thu Jan 16 16:59:23 UTC 2025","passed","Thu Jan 16 16:59:23 UTC 2025","when no EAN search has been performed > when the input has format issues","when the draft offer has not been created yet (dirty)","",""
"","1","should map api response errors to form one with changes","serializeApiErrors","Thu Jan 16 17:00:50 UTC 2025","passed","Thu Jan 16 17:00:50 UTC 2025","","","",""
